frame,time,id,cls,conf,x1,y1,x2,y2,cx,cy,lane,speed_kmh
119,3.97,10,car,0.44,1330.6,689.5,1513.4,735.5,1422.0,712.5,9,79.1
121,4.04,10,car,0.50,1358.7,689.1,1541.1,735.0,1449.9,712.1,9,79.9
122,4.07,10,car,0.34,1373.7,686.8,1554.5,735.1,1464.1,710.9,9,79.9
122,4.07,40,car,0.39,1187.4,238.4,1257.0,304.6,1222.2,271.5,2,96.3
123,4.10,40,car,0.39,1173.7,235.7,1241.7,305.4,1207.7,270.6,2,95.3
125,4.17,40,car,0.33,1142.0,238.4,1209.4,302.5,1175.7,270.4,2,95.1
126,4.20,40,car,0.37,1126.1,237.9,1195.0,306.7,1160.5,272.3,2,94.7
127,4.24,40,car,0.50,1108.0,238.6,1180.6,306.7,1144.3,272.7,2,94.7
127,4.24,45,car,0.57,333.5,640.8,393.4,715.6,363.5,678.2,8,0.0
128,4.27,40,car,0.47,1091.0,237.6,1163.4,305.2,1127.2,271.4,2,95.2
128,4.27,45,car,0.52,344.0,640.8,406.9,715.5,375.4,678.1,8,70.3
128,4.27,10,car,0.39,1454.4,685.9,1637.3,737.7,1545.9,711.8,9,79.9
129,4.31,40,car,0.55,1076.6,236.4,1148.3,307.7,1112.5,272.0,2,94.6
129,4.31,45,car,0.57,358.4,640.2,420.2,716.6,389.3,678.4,8,76.1
129,4.31,10,car,0.31,1465.4,683.1,1647.5,737.2,1556.4,710.2,9,79.8
130,4.34,40,car,0.47,1061.9,238.3,1134.3,308.6,1098.1,273.4,2,94.1
130,4.34,45,car,0.40,373.3,640.5,435.4,715.9,404.3,678.2,8,80.3
131,4.37,40,car,0.45,1045.6,244.1,1115.5,306.4,1080.5,275.3,2,94.6
132,4.41,40,car,0.33,1030.4,243.1,1099.6,310.1,1065.0,276.6,2,94.7
132,4.41,45,car,0.51,403.5,641.1,464.7,708.1,434.1,674.6,8,83.4
133,4.44,40,car,0.49,1012.4,241.2,1084.9,308.8,1048.7,275.0,2,94.0
134,4.47,10,truck,0.31,1534.7,686.1,1717.6,740.0,1626.1,713.0,9,80.5
134,4.47,45,car,0.38,435.2,643.7,490.2,707.4,462.7,675.6,8,83.6
135,4.51,10,car,0.41,1547.9,688.2,1733.8,738.1,1640.9,713.2,9,80.4
135,4.51,40,car,0.36,983.9,240.4,1053.2,315.0,1018.6,277.7,2,93.2
136,4.54,10,truck,0.30,1556.5,686.9,1744.9,738.4,1650.7,712.7,9,79.7
136,4.54,40,car,0.50,966.8,238.9,1036.2,309.7,1001.5,274.3,2,93.4
137,4.57,10,truck,0.34,1568.5,686.4,1759.2,737.6,1663.8,712.0,9,80.0
137,4.57,40,car,0.43,952.2,243.3,1022.7,310.9,987.4,277.1,2,92.4
137,4.57,49,car,0.49,1851.6,257.9,1919.6,307.5,1885.6,282.7,2,0.0
138,4.61,10,truck,0.31,1583.1,687.1,1773.3,737.4,1678.2,712.3,9,80.1
138,4.61,40,car,0.53,937.7,242.6,1007.5,314.7,972.6,278.7,2,92.5
138,4.61,49,car,0.42,1836.7,260.8,1915.5,305.1,1876.1,282.9,2,56.2
139,4.64,40,car,0.52,919.2,243.0,990.8,311.0,955.0,277.0,2,93.0
139,4.64,45,car,0.32,508.6,644.6,561.0,710.1,534.8,677.4,8,84.2
140,4.67,40,car,0.51,905.4,243.2,975.2,309.7,940.3,276.4,2,92.8
140,4.67,10,car,0.39,1612.9,686.1,1804.6,740.1,1708.8,713.1,9,80.7
141,4.71,40,car,0.51,891.0,244.2,961.1,314.7,926.1,279.5,2,92.0
141,4.71,10,car,0.38,1627.9,686.5,1815.4,741.5,1721.6,714.0,9,80.8
141,4.71,45,car,0.59,534.3,643.7,592.6,713.4,563.5,678.6,8,84.3
142,4.74,40,car,0.46,873.4,245.4,943.3,314.0,908.4,279.7,2,92.3
142,4.74,10,car,0.47,1640.9,687.3,1831.0,740.0,1735.9,713.7,9,80.8
142,4.74,56,car,0.42,1850.1,358.0,1920.0,425.1,1885.1,391.6,4,0.0
142,4.74,45,car,0.58,547.7,644.0,607.0,715.0,577.3,679.5,8,84.1
143,4.77,40,car,0.50,858.8,248.1,926.7,313.4,892.8,280.8,2,92.6
143,4.77,10,car,0.55,1652.1,683.9,1842.7,740.1,1747.4,712.0,9,80.0
